"","Date","Team","Acquired","Relinquished","Notes"
"17679",2017-02-06,"Knicks","","Joakim Noah","placed on IL with sore left hamstring"
"17680",2017-02-06,"Knicks","Derrick Rose","","activated from IL"
"17681",2017-02-06,"Lakers","","Marcelo Huertas","placed on IL"
"17682",2017-02-06,"Lakers","Julius Randle","","returned to lineup"
"17683",2017-02-06,"Lakers","Ron Artest","","activated from IL"
"17684",2017-02-06,"Mavericks","","Deron Williams","sprained right big toe (DTD)"
"17685",2017-02-06,"Mavericks","Devin Harris","","returned to lineup"
"17686",2017-02-06,"Nets","","Quincy Acy","sprained left ankle (DTD)"
"17687",2017-02-06,"Nuggets","","Emmanuel Mudiay","placed on IL with back injury"
"17688",2017-02-06,"Nuggets","Darrell Arthur","","activated from IL"
"17689",2017-02-06,"Pacers","Rodney Stuckey","","activated from IL"
"17690",2017-02-06,"Pistons","","Reggie Bullock","placed on IL with illness"
"17691",2017-02-06,"Raptors","DeMar DeRozan","","activated from IL"
"17692",2017-02-06,"Spurs","","Kawhi Leonard","bruised right quadriceps (DTD)"
"17693",2017-02-06,"Suns","","Derrick Jones Jr.","placed on IL"
"17694",2017-02-06,"Suns","","Dragan Bender","placed on IL with bruised right ankle"
"17695",2017-02-06,"Suns","Jared Dudley","","activated from IL"
"17696",2017-02-06,"Suns","Ronnie Price","","activated from IL"
"17697",2017-02-06,"Pacers","","Georges Niang","placed on IL"
"17698",2017-02-06,"Raptors","","Delon Wright","placed on IL"
"17699",2017-02-06,"Pistons","Michael Gbinije","","activated from IL"
"17700",2017-02-07,"Blazers","","Evan Turner","fractured right hand (out indefinitely)"
"17701",2017-02-07,"Mavericks","","Deron Williams","sprained right big toe (DTD)"
"17702",2017-02-07,"Nets","","Quincy Acy","placed on IL with sprained left ankle"
"17703",2017-02-07,"Nets","Chris McCullough","","activated from IL"
"17704",2017-02-07,"Pelicans","","Tyreke Evans","sprained left ankle (DTD)"
"17705",2017-02-07,"Rockets","Nene Hilario ","","returned to lineup"
"17706",2017-02-08,"76ers","","Richaun Holmes","upper respiratory infection (DTD)"
"17707",2017-02-08,"Blazers","","Evan Turner","surgery on right hand to repair fracture (out indefinitely)"
"17708",2017-02-08,"Bucks","","Jabari Parker","torn ACL in left knee (out for season)"
"17709",2017-02-08,"Bucks","","Spencer Hawes","placed on IL"
"17710",2017-02-08,"Bucks","Khris Middleton","","activated from IL"
"17711",2017-02-08,"Bulls","","Dwyane Wade","placed on IL with upper respiratory illness"
"17712",2017-02-08,"Bulls","Cristiano Felicio","","activated from IL"
"17713",2017-02-08,"Cavaliers","","Iman Shumpert","sprained left ankle (DTD)"
"17714",2017-02-08,"Grizzlies","","Vince Carter","rest (DTD)"
"17715",2017-02-08,"Grizzlies","","Zach Randolph","sore left foot (DTD)"
"17716",2017-02-08,"Heat","","Dion Waiters","sprained left ankle (DTD)"
"17717",2017-02-08,"Hornets","","Ramon Sessions","surgery on left knee to repair torn lateral meniscus (out for season)"
"17718",2017-02-08,"Lakers","","Ron Artest","placed on IL"
"17719",2017-02-08,"Lakers","Marcelo Huertas","","activated from IL"
"17720",2017-02-08,"Magic","","Aaron Gordon","bone bruise in right foot (DTD)"
"17721",2017-02-08,"Nets","Caris LeVert","","returned to lineup"
"17722",2017-02-08,"Nuggets","","Emmanuel Mudiay","placed on IL"
"17723",2017-02-08,"Pistons","Reggie Bullock","","activated from IL"
"17724",2017-02-08,"Spurs","Kawhi Leonard","","returned to lineup"
"17725",2017-02-08,"Suns","","Dragan Bender","surgery on right ankle to remove bone spur (out indefinitely)"
"17726",2017-02-08,"Suns","","Ronnie Price","placed on IL"
"17727",2017-02-08,"Suns","Derrick Jones Jr.","","activated from IL"
"17728",2017-02-08,"Wizards","","Markieff Morris","placed on IL with tightness in right calf"
"17729",2017-02-08,"Wizards","Ian Mahinmi","","activated from IL"
"17730",2017-02-08,"Pistons","","Michael Gbinije","placed on IL"
"17731",2017-02-08,"Nuggets","","Kenneth Faried","sprained right ankle (DTD)"
"17732",2017-02-09,"76ers","","Joel Embiid","rest (DTD)"
"17733",2017-02-09,"Blazers","","Evan Turner","recovering from surgery on right hand to repair fracture (out indefinitely)"
"17734",2017-02-09,"Bulls","","Paul Zipser","left ankle tendinitis (DTD)"
"17735",2017-02-09,"Hornets","","Mike Tobey","placed on IL"
"17736",2017-02-09,"Hornets","","Ramon Sessions","placed on IL recovering from surgery on left knee to repair torn lateral meniscus (out for season)"
"17737",2017-02-09,"Hornets","Cody Zeller","","activated from IL"
"17738",2017-02-09,"Jazz","","George Hill","sore left big toe (DTD)"
"17739",2017-02-09,"Kings","","Ty Lawson","adductor muscle injury / strained left hamstring (DTD)"
"17740",2017-02-09,"Mavericks","","Deron Williams","sprained left big toe (DTD)"
"17741",2017-02-09,"Rockets","","Eric Gordon","sore lower back (DTD)"
"17742",2017-02-09,"Rockets","","Nene Hilario ","rest / shoulder injury (DTD)"
"17743",2017-02-10,"Bucks","","Jabari Parker","placed on IL with torn ACL in left knee"
"17744",2017-02-10,"Bucks","Spencer Hawes","","activated from IL"
"17745",2017-02-10,"Bulls","","Paul Zipser","placed on IL with left ankle tendinitis"
"17746",2017-02-10,"Bulls","Dwyane Wade","","activated from IL"
"17747",2017-02-10,"Bulls","Jimmy Butler","","returned to lineup"
"17748",2017-02-10,"Grizzlies","","Chandler Parsons","rest (DTD)"
"17749",2017-02-10,"Grizzlies","Zach Randolph","","returned to lineup"
"17750",2017-02-10,"Lakers","","Marcelo Huertas","placed on IL"
"17751",2017-02-10,"Lakers","Thomas Robinson","","activated from IL"
"17752",2017-02-10,"Nuggets","","Kenneth Faried","placed on IL with sprained right ankle"
"17753",2017-02-10,"Pelicans","","Terrence Jones","sprained right thumb (DTD)"
"17754",2017-02-10,"Spurs","","Dejounte Murray","placed on IL"
"17755",2017-02-10,"Suns","","Derrick Jones Jr.","placed on IL"
"17756",2017-02-10,"Suns","Ronnie Price","","activated from IL"
"17757",2017-02-10,"Timberwolves","Kris Dunn","","returned to lineup"
"17758",2017-02-10,"Wizards","","Daniel Ochefu","placed on IL"
"17759",2017-02-10,"Wizards","Markieff Morris","","activated from IL"
"17760",2017-02-10,"Nuggets","Emmanuel Mudiay","","activated from IL"
"17761",2017-02-10,"Wizards","Danuel House","","returned to lineup"
"17762",2017-02-10,"Nuggets","","Emmanuel Mudiay","sore lower back (DTD)"
"17763",2017-02-10,"Spurs","Bryn Forbes","","activated from IL"
"17764",2017-02-11,"76ers","","Joel Embiid","bruised left knee (out for season)"
"17765",2017-02-11,"76ers","Richaun Holmes","","returned to lineup"
"17766",2017-02-11,"Bucks","","Khris Middleton","placed on IL"
"17767",2017-02-11,"Bucks","Roy Hibbert","","activated from IL"
"17768",2017-02-11,"Celtics","Demetrius Jackson","","activated from IL"
"17769",2017-02-11,"Hornets","","Cody Zeller","placed on IL with sore quadriceps"
"17770",2017-02-11,"Hornets","Mike Tobey","","activated from IL"
"17771",2017-02-11,"Jazz","George Hill","","returned to lineup"
"17772",2017-02-11,"Rockets","Nene Hilario ","","returned to lineup"
"17773",2017-02-11,"Suns","","Eric Bledsoe","placed on IL for rest"
"17774",2017-02-11,"Suns","","Tyson Chandler","placed on IL with sprained right ankle"
"17775",2017-02-11,"Suns","Derrick Jones Jr.","","activated from IL"
"17776",2017-02-12,"Bulls","","Dwyane Wade","bruised right wrist (DTD)"
"17777",2017-02-12,"Bulls","","Jimmy Butler","bruised right heel (DTD)"
"17778",2017-02-12,"Bulls","","Nikola Mirotic","back spasms (DTD)"
"17779",2017-02-12,"Cavaliers","","Kevin Love","left knee injury (DTD)"
"17780",2017-02-12,"Knicks","","Maurice N'dour","placed on IL"
"17781",2017-02-12,"Knicks","Lance Thomas","","activated from IL"
"17782",2017-02-12,"Pelicans","Tyreke Evans","","returned to lineup"
"17783",2017-02-12,"Raptors","","Patrick Patterson","placed on IL with bruised left knee"
"17784",2017-02-12,"Raptors","Delon Wright","","activated from IL"
"17785",2017-02-12,"Spurs","","Jonathon Simmons","placed on IL with illness"
"17786",2017-02-12,"Spurs","Dejounte Murray","","activated from IL"
"17787",2017-02-13,"Blazers","","Evan Turner","placed on IL recovering from surgery on right hand to repair fracture"
"17788",2017-02-13,"Bucks","","Roy Hibbert","placed on IL"
"17789",2017-02-13,"Bucks","Khris Middleton","","activated from IL"
"17790",2017-02-13,"Celtics","","Chris Wilcox","placed on IL with left Achilles tendinitis"
"17791",2017-02-13,"Celtics","","Jaylen Brown","placed on IL with strained right hip flexor"
"17792",2017-02-13,"Grizzlies","","Tony Allen","rest (DTD)"
"17793",2017-02-13,"Grizzlies","Chandler Parsons","","returned to lineup"
"17794",2017-02-13,"Heat","Dion Waiters","","returned to lineup"
"17795",2017-02-13,"Magic","Aaron Gordon","","returned to lineup"
"17796",2017-02-13,"Nuggets","","Darrell Arthur","sore left knee (DTD)"
"17797",2017-02-13,"Nuggets","","Wilson Chandler","illness (DTD)"
"17798",2017-02-13,"Pacers","","Lavoy Allen","sore right knee (DTD)"
"17799",2017-02-13,"Pacers","","Rakeem Christmas","placed on IL"
"17800",2017-02-13,"Pacers","Georges Niang","","activated from IL"
"17801",2017-02-13,"Spurs","","Bryn Forbes","placed on IL"
"17802",2017-02-13,"Spurs","Jonathon Simmons","","activated from IL"
"17803",2017-02-13,"Suns","","Ronnie Price","placed on IL"
"17804",2017-02-13,"Suns","Eric Bledsoe","","activated from IL"
"17805",2017-02-13,"Suns","Tyson Chandler","","activated from IL"
"17806",2017-02-13,"Warriors","","Klay Thompson","sore right heel (DTD)"
"17807",2017-02-13,"Magic","Stephen Zimmerman Jr.","","activated from IL"
"17808",2017-02-13,"Blazers","Tim Quarterman","","activated from IL"
"17809",2017-02-13,"Hornets","Chris Andersen","","activated from IL"
"17810",2017-02-14,"Blazers","","Al-Farouq Aminu","sprained left knee (DTD)"
"17811",2017-02-14,"Bulls","Jimmy Butler","","returned to lineup"
"17812",2017-02-14,"Cavaliers","","Kevin Love","placed on IL with recovering from arthroscopic surgery on left knee to remove loose body"
"17813",2017-02-14,"Cavaliers","Iman Shumpert","","returned to lineup"
"17814",2017-02-14,"Hornets","","Miles Plumlee","strained right calf (DTD)"
"17815",2017-02-14,"Lakers","","Thomas Robinson","placed on IL"
"17816",2017-02-14,"Lakers","Marcelo Huertas","","activated from IL"
"17817",2017-02-14,"Raptors","Patrick Patterson","","activated from IL"
"17818",2017-02-15,"Bucks","","Jabari Parker","surgery on left knee to repair torn ACL (out for season)"
"17819",2017-02-15,"Grizzlies","Tony Allen","","returned to lineup"
"17820",2017-02-15,"Kings","","Ty Lawson","strained left adductor muscle (DTD)"
"17821",2017-02-15,"Knicks","","Brandon Jennings","placed on IL with sore left Achilles"
"17822",2017-02-15,"Knicks","Maurice N'dour","","activated from IL"
"17823",2017-02-15,"Magic","","C.J. Watson","sore right Achilles (DTD)"
"17824",2017-02-15,"Mavericks","Andrew Bogut","","activated from IL"
"17825",2017-02-15,"Pacers","","Lavoy Allen","placed on IL with sore right knee"
"17826",2017-02-15,"Pelicans","","Terrence Jones","placed on IL with sprained right thumb"
"17827",2017-02-15,"Raptors","","Patrick Patterson","placed on IL with bruised left knee"
"17828",2017-02-15,"Raptors","","Serge Ibaka","placed on IL"
"17829",2017-02-15,"Rockets","Eric Gordon","","returned to lineup"
"17830",2017-02-15,"Spurs","","Manu Ginobili","left ankle impingement (DTD)"
"17831",2017-02-15,"Timberwolves","","Lance Stephenson","sprained left ankle (DTD)"
"17832",2017-02-15,"Warriors","Klay Thompson","","returned to lineup"
"17833",2017-02-15,"Grizzlies","Jarell Martin","","activated from IL"
"17834",2017-02-15,"Pacers","Rakeem Christmas","","activated from IL"
"17835",2017-02-15,"Grizzlies","","Deyonta Davis","placed on IL"
"17836",2017-02-15,"Pelicans","Cheick Diallo","","activated from IL"
"17837",2017-02-15,"Raptors","Bruno Caboclo","","activated from IL"
"17838",2017-02-16,"Bulls","","Dwyane Wade","placed on IL with illness"
"17839",2017-02-16,"Bulls","","Paul Zipser","left ankle tendinitis (DTD)"
"17840",2017-02-16,"Bulls","Nikola Mirotic","","returned to lineup"
"17841",2017-02-16,"Bulls","Paul Zipser","","activated from IL"
"17842",2017-02-16,"Kings","","Malachi Richardson","torn right hamstring (DTD)"
"17843",2017-02-16,"Pacers","Rakeem Christmas","","activated from IL"
"17844",2017-02-22,"Pelicans","","Omer Asik","illness (DTD)"
"17845",2017-02-23,"Celtics","Chris Wilcox","","activated from IL"
"17846",2017-02-23,"Clippers","","Diamond Stone","placed on IL with left knee injury"
"17847",2017-02-23,"Clippers","Brice Johnson","","activated from IL"
"17848",2017-02-23,"Kings","","Arron Afflalo","sore left hamstring (DTD)"
"17849",2017-02-23,"Kings","Ty Lawson","","returned to lineup"
"17850",2017-02-23,"Knicks","","Kristaps Porzingis","sprained right ankle (DTD)"
"17851",2017-02-23,"Knicks","Brandon Jennings","","activated from IL"
"17852",2017-02-23,"Nuggets","","Malik Beasley","placed on IL"
"17853",2017-02-23,"Nuggets","Danilo Gallinari","","activated from IL"
"17854",2017-02-23,"Nuggets","Darrell Arthur","","returned to lineup"
"17855",2017-02-23,"Nuggets","Emmanuel Mudiay","","returned to lineup"
"17856",2017-02-23,"Nuggets","Kenneth Faried","","activated from IL"
"17857",2017-02-23,"Nuggets","Wilson Chandler","","returned to lineup"
"17858",2017-02-23,"Pistons","","Beno Udrih","ankle injury (DTD)"
"17859",2017-02-23,"Warriors","","Damian Jones","placed on IL"
"17860",2017-02-23,"Warriors","","Kevon Looney","placed on IL"
"17861",2017-02-23,"Warriors","David West","","activated from IL"
"17862",2017-02-23,"Warriors","Zaza Pachulia","","activated from IL"
"17863",2017-02-23,"Magic","","C.J. Watson","Achilles injury (DTD)"
"17864",2017-02-23,"Pelicans","Omri Casspi","","activated from IL"
"17865",2017-02-23,"Pelicans","Terrence Jones","","activated from IL"
"17866",2017-02-23,"Knicks","","Marshall Plumlee","placed on IL"
"17867",2017-02-23,"Magic","","C.J. Watson","placed on IL with Achilles injury"
"17868",2017-02-23,"Pelicans","","Omri Casspi","fractured right thumb (out indefinitely)"
"17869",2017-02-24,"Bulls","","Cameron Payne","placed on IL with flu"
"17870",2017-02-24,"Bulls","","Paul Zipser","placed on IL with left ankle tendinitis"
"17871",2017-02-24,"Bulls","Dwyane Wade","","returned to lineup"
"17872",2017-02-24,"Bulls","Dwyane Wade","","activated from IL"
"17873",2017-02-24,"Celtics","","Gerald Green ","placed on IL with bruised left heel"
"17874",2017-02-24,"Celtics","Jaylen Brown","","activated from IL"
"17875",2017-02-24,"Clippers","","Diamond Stone","left knee injury (DTD)"
"17876",2017-02-24,"Clippers","","Wes Johnson","placed on IL"
"17877",2017-02-24,"Clippers","Chris Paul","","activated from IL"
"17878",2017-02-24,"Hawks","Thabo Sefolosha","","activated from IL"
"17879",2017-02-24,"Heat","Josh Richardson","","returned to lineup"
"17880",2017-02-24,"Jazz","","Raul Neto","placed on IL"
"17881",2017-02-24,"Jazz","Rodney Hood","","activated from IL"
"17882",2017-02-24,"Lakers","","Tyler Ennis","placed on IL"
"17883",2017-02-24,"Lakers","Thomas Robinson","","activated from IL"
"17884",2017-02-24,"Mavericks","A.J. Hammons","","""activated"""
"17885",2017-02-24,"Nets","","K.J. McDaniels","placed on IL"
"17886",2017-02-24,"Nets","Jeremy Lin","","activated from IL"
"17887",2017-02-24,"Nuggets","","Roy Hibbert","placed on IL"
"17888",2017-02-24,"Pacers","","Al Jefferson","placed on IL with dental ailment"
"17889",2017-02-24,"Pacers","","Georges Niang","placed on IL"
"17890",2017-02-24,"Pacers","Lavoy Allen","","activated from IL"
"17891",2017-02-24,"Pacers","Thaddeus Young","","activated from IL"
"17892",2017-02-24,"Raptors","","Kyle Lowry","placed on IL with sore right wrist"
"17893",2017-02-24,"Raptors","Patrick Patterson","","activated from IL"
"17894",2017-02-24,"Spurs","","Joel Anthony","placed on IL"
"17895",2017-02-24,"Spurs","Pau Gasol","","activated from IL"
"17896",2017-02-24,"Thunder","","Victor Oladipo","placed on IL with back spasms"
"17897",2017-02-24,"Thunder","Enes Kanter","","activated from IL"
"17898",2017-02-24,"Thunder","Josh Huestis","","activated from IL"
"17899",2017-02-24,"Wizards","","Chris McCullough","placed on IL"
"17900",2017-02-24,"Wizards","Daniel Ochefu","","activated from IL"
"17901",2017-02-24,"Hawks","","Ryan Kelly","placed on IL"
"17902",2017-02-25,"Bulls","","Michael Carter-Williams","placed on IL with patellar tendinitis in knee"
"17903",2017-02-25,"Bulls","Cameron Payne","","activated from IL"
"17904",2017-02-25,"Cavaliers","","LeBron James","illness (DTD)"
"17905",2017-02-25,"Celtics","Chris Wilcox","","returned to lineup"
"17906",2017-02-25,"Hawks","","Lamar Patterson","placed on IL"
"17907",2017-02-25,"Knicks","","Kristaps Porzingis","placed on IL with sprained right ankle"
"17908",2017-02-25,"Knicks","Marshall Plumlee","","activated from IL"
"17909",2017-02-25,"Nets","","Caris LeVert","placed on IL with illness"
"17910",2017-02-25,"Nets","K.J. McDaniels","","activated from IL"
"17911",2017-02-25,"Pelicans","","Omer Asik","placed on IL with illness"
"17912",2017-02-25,"Warriors","","Kevin Durant","placed on IL with bruised left hand"
"17913",2017-02-25,"Warriors","Kevon Looney","","activated from IL"
"17914",2017-02-26,"Blazers","Al-Farouq Aminu","","returned to lineup"
"17915",2017-02-26,"Bucks","","Axel Toupane","placed on IL"
"17916",2017-02-26,"Heat","","Willie Reed","bursitis in right ankle / strained calf (DTD)"
"17917",2017-02-26,"Lakers","","Jose Calderon","placed on IL"
"17918",2017-02-26,"Lakers","Tyler Ennis","","activated from IL"
"17919",2017-02-26,"Nuggets","","Kenneth Faried","placed on IL with sore lower back / back spasms"
"17920",2017-02-26,"Nuggets","Roy Hibbert","","activated from IL"
"17921",2017-02-26,"Pelicans","E'Twaun Moore","","returned to lineup"
